#             eta             phi             dep             det     cap0     cap1     cap2     cap3      DetId
               -5              20               1              HB  0.23305  0.23305  0.23305  0.23305   42004294
               -6              20               1              HB  0.24273  0.24273  0.24273  0.24273   42004314
               -7              20               1              HB  0.20590  0.20590  0.20590  0.20590   42004394
               -8              20               1              HB  0.21234  0.21234  0.21234  0.21234   42004414
               -9              20               1              HB  0.20725  0.20725  0.20725  0.20725   42004494
              -10              20               1              HB  0.20568  0.20568  0.20568  0.20568   42004514
              -11              20               1              HB  0.19397  0.19397  0.19397  0.19397   42004594
              -12              20               1              HB  0.19962  0.19962  0.19962  0.19962   42004614
              -13              20               1              HB  0.19196  0.19196  0.19196  0.19196   42004694
              -14              20               1              HB  0.19128  0.19128  0.19128  0.19128   42004714
              -15              20               1              HB  0.16830  0.16830  0.16830  0.16830   42004794
              -15              20               2              HB  0.14858  0.14858  0.14858  0.14858   42008794
              -16              20               1              HB  0.17201  0.17201  0.17201  0.17201   42004814
              -16              20               2              HB  0.15037  0.15037  0.15037  0.15037   42008814
               -1              21               1              HB  0.25343  0.25343  0.25343  0.25343   42004095
               -2              21               1              HB  0.23100  0.23100  0.23100  0.23100   42004115
               -3              21               1              HB  0.20961  0.20961  0.20961  0.20961   42004195
               -4              21               1              HB  0.20180  0.20180  0.20180  0.20180   42004215
               -5              21               1              HB  0.20422  0.20422  0.20422  0.20422   42004295
               -6              21               1              HB  0.22666  0.22666  0.22666  0.22666   42004315
               -7              21               1              HB  0.19499  0.19499  0.19499  0.19499   42004395
               -8              21               1              HB  0.18783  0.18783  0.18783  0.18783   42004415
               -9              21               1              HB  0.18424  0.18424  0.18424  0.18424   42004495
              -10              21               1              HB  0.18636  0.18636  0.18636  0.18636   42004515
              -11              21               1              HB  0.17502  0.17502  0.17502  0.17502   42004595
              -12              21               1              HB  0.17808  0.17808  0.17808  0.17808   42004615
              -13              21               1              HB  0.17880  0.17880  0.17880  0.17880   42004695
              -14              21               1              HB  0.15650  0.15650  0.15650  0.15650   42004715
              -15              21               1              HB  0.13948  0.13948  0.13948  0.13948   42004795
              -15              21               2              HB  0.11871  0.11871  0.11871  0.11871   42008795
              -16              21               1              HB  0.14291  0.14291  0.14291  0.14291   42004815
              -16              21               2              HB  0.13915  0.13915  0.13915  0.13915   42008815
               -1              22               1              HB  0.22022  0.22022  0.22022  0.22022   42004096
               -2              22               1              HB  0.21557  0.21557  0.21557  0.21557   42004116
               -3              22               1              HB  0.21793  0.21793  0.21793  0.21793   42004196
               -4              22               1              HB  0.20052  0.20052  0.20052  0.20052   42004216
               -5              22               1              HB  0.20919  0.20919  0.20919  0.20919   42004296
               -6              22               1              HB  0.19974  0.19974  0.19974  0.19974   42004316
               -7              22               1              HB  0.19253  0.19253  0.19253  0.19253   42004396
               -8              22               1              HB  0.18064  0.18064  0.18064  0.18064   42004416
               -9              22               1              HB  0.18236  0.18236  0.18236  0.18236   42004496
              -10              22               1              HB  0.18568  0.18568  0.18568  0.18568   42004516
              -11              22               1              HB  0.19455  0.19455  0.19455  0.19455   42004596
              -12              22               1              HB  0.17096  0.17096  0.17096  0.17096   42004616
              -13              22               1              HB  0.16794  0.16794  0.16794  0.16794   42004696
              -14              22               1              HB  0.16604  0.16604  0.16604  0.16604   42004716
